Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,50,4.86,.682,162,1458,1096,12990.0,5848,4330,1456,62,138,.989,-11,-1,13,2,4
Atlanta Braves,54,3.75,.689,162,1458,1173,12990.0,5834,4330,1436,68,131,.988,10,1,35,2,8
Baltimore Orioles,58,4.31,.704,162,1458,1084,12978.0,5743,4326,1336,81,100,.986,-23,-2,1,0,-1
Boston Red Sox,57,4.61,.693,162,1458,974,13074.0,5922,4358,1449,115,117,.981,29,3,49,0,-8
Chicago Cubs,56,4.13,.705,162,1458,1083,12891.0,5722,4297,1349,76,91,.987,11,1,37,0,3
Chicago White Sox,63,5.02,.685,162,1458,1145,12780.0,5626,4260,1276,90,115,.984,-81,-8,-87,-5,-7
Cincinnati Reds,59,4.28,.702,162,1458,1078,12852.0,5593,4284,1213,96,100,.983,8,1,-30,-1,0
Cleveland Guardians,50,3.86,.709,161,1449,1047,12852.0,5748,4284,1377,87,130,.985,36,3,89,1,0
Colorado Rockies,54,5.73,.671,162,1458,1154,12840.0,5926,4280,1564,82,164,.986,-12,-1,20,1,-2
Detroit Tigers,48,3.96,.709,162,1458,1045,13023.0,5830,4341,1409,80,129,.986,41,4,50,0,5
Houston Astros,55,4.03,.704,161,1449,1091,12888.0,5692,4296,1312,84,130,.985,35,3,1,-1,3
Kansas City Royals,50,3.98,.696,162,1458,1052,12852.0,5792,4284,1423,85,125,.985,11,1,47,4,5
Los Angeles Angels,64,4.92,.704,162,1458,1159,12879.0,5829,4293,1439,97,152,.983,18,2,15,0,1
Los Angeles Dodgers,59,4.23,.710,162,1458,1026,13011.0,5791,4337,1366,88,119,.985,9,1,66,1,0
Miami Marlins,70,5.19,.681,162,1458,1031,12936.0,5861,4312,1432,117,123,.980,-58,-5,-29,0,-3
Milwaukee Brewers,56,3.96,.709,162,1458,1103,13014.0,5775,4338,1348,89,113,.985,49,5,64,1,-1
Minnesota Twins,52,4.54,.695,162,1458,1015,12963.0,5621,4321,1230,70,75,.988,-53,-5,-20,0,3
New York Mets,57,4.30,.704,162,1458,1028,12981.0,5829,4327,1408,94,127,.984,1,0,18,0,-6
New York Yankees,52,4.12,.703,162,1458,1153,13074.0,5771,4358,1320,93,112,.984,4,0,31,0,1
Oakland Athletics,55,4.72,.691,162,1458,1064,12930.0,5754,4310,1360,84,142,.985,-39,-4,-64,-1,-2
Philadelphia Phillies,47,4.14,.692,162,1458,1116,12984.0,5880,4328,1467,85,120,.986,-14,-1,3,0,-3
Pittsburgh Pirates,56,4.56,.687,162,1458,1084,12948.0,5777,4316,1370,91,139,.984,-22,-2,-7,0,-5
San Diego Padres,49,4.13,.697,162,1458,1091,12954.0,5690,4318,1297,75,116,.987,-37,-3,-8,0,-9
Seattle Mariners,50,3.75,.724,162,1458,1057,12897.0,5671,4299,1293,79,95,.986,52,5,39,0,1
San Francisco Giants,57,4.31,.683,162,1458,1101,12903.0,5946,4301,1558,87,135,.985,-44,-4,-3,1,-3
St. Louis Cardinals,44,4.44,.696,162,1458,1094,12996.0,5932,4332,1525,75,155,.987,-4,0,29,0,6
Tampa Bay Rays,54,4.09,.706,162,1458,1080,12966.0,5677,4322,1265,90,108,.984,15,1,-7,0,-1
Texas Rangers,56,4.56,.702,162,1458,1143,12849.0,5722,4283,1366,73,106,.987,28,3,33,0,-6
Toronto Blue Jays,55,4.59,.705,162,1458,1044,12846.0,5729,4282,1355,92,125,.984,34,3,102,3,7
Washington Nationals,48,4.72,.676,162,1458,1164,12906.0,5849,4302,1438,109,155,.981,-27,-3,-21,-1,-2
League Average,48,4.39,.697,162,1457,1086,12935,5779,4312,1381,86,123,.985,-1,0,18,0,-0
,1443,4.39,.697,4858,43722,32575,388047.0,173380,129349,41437,2594,3687,.985,-36,0,530,0,-9
