Unnamed: 0,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division
Winnipeg Jets*,82,56,22,4,116,.707,277,191,1.02,-0.03,.677,43,43-22-17,.628
Dallas Stars*,82,50,26,6,106,.646,277,224,0.61,-0.04,.610,41,41-26-15,.591
Colorado Avalanche*,82,49,29,4,102,.622,277,234,0.50,-0.03,.591,40,40-29-13,.567
Minnesota Wild*,82,45,30,7,97,.591,228,239,-0.13,0.01,.549,33,33-30-19,.518
St. Louis Blues*,82,44,30,8,96,.585,254,233,0.25,-0.01,.524,32,32-30-20,.512
Utah Hockey Club,82,38,31,13,89,.543,241,251,-0.11,0.01,.482,30,30-31-21,.494
Nashville Predators,82,30,44,8,68,.415,214,274,-0.69,0.04,.354,24,24-44-14,.378
Chicago Blackhawks,82,25,46,11,61,.372,226,296,-0.83,0.03,.317,20,20-46-16,.341
Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division
Vegas Golden Knights*,82,50,22,10,110,.671,275,219,0.65,-0.03,.634,46,46-22-14,.646
Los Angeles Kings*,82,48,25,9,105,.640,250,206,0.50,-0.04,.598,43,43-25-14,.610
Edmonton Oilers*,82,48,29,5,101,.616,259,236,0.26,-0.02,.591,36,36-29-17,.543
Calgary Flames,82,41,27,14,96,.585,225,238,-0.17,-0.02,.482,31,31-27-24,.524
Vancouver Canucks,82,38,30,14,90,.549,236,253,-0.22,-0.01,.457,28,28-30-24,.488
Anaheim Ducks,82,35,37,10,80,.488,221,263,-0.49,0.03,.415,24,24-37-21,.421
Seattle Kraken,82,35,41,6,76,.463,247,265,-0.23,-0.01,.433,28,28-41-13,.421
San Jose Sharks,82,20,50,12,52,.317,210,315,-1.24,0.04,.262,14,14-50-18,.280
