Season,Lg,Tm,Unnamed: 3,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2024-25,NBA,DET,,82,0.3%,-7.0%,-1.2%,-.029,12.9%,13.9%,-.003,-14.7%,-10.0%,-.029,-4.1%,-1.2%,-.024,9.1%,-4.6%,-1.6%,-8.2%,0.1%,-15.7%,21.2%,6.5%,-4.5%
2023-24,NBA,DET,,82,-0.3%,1.3%,1.1%,+.001,0.7%,-1.8%,+.009,1.5%,2.9%,-.008,-3.5%,-6.3%,+.023,-12.2%,-0.8%,-3.6%,4.9%,15.2%,8.2%,-8.0%,-15.2%,0.4%
2022-23,NBA,DET,,82,0.1%,6.0%,2.4%,+.017,1.9%,2.4%,-.002,7.7%,2.4%,+.028,4.5%,4.5%,-.000,6.4%,-6.1%,-3.3%,2.5%,4.1%,6.1%,-7.4%,5.7%,5.3%
2021-22,NBA,DET,,82,13.5%,11.8%,12.6%,-.003,18.2%,18.1%,+.001,9.4%,9.6%,-.001,30.8%,27.9%,+.017,18.1%,19.0%,18.8%,15.5%,4.8%,1.9%,19.2%,10.6%,15.4%
2020-21,NBA,DET,,72,9.2%,7.7%,8.6%,-.004,15.9%,15.8%,+.000,4.8%,4.9%,-.000,13.9%,16.5%,-.018,7.3%,12.3%,11.1%,9.8%,6.4%,13.6%,8.8%,12.3%,9.4%
2019-20,NBA,DET,,66,-19.6%,-15.4%,-17.3%,+.011,-10.3%,-14.3%,+.016,-17.0%,-18.7%,+.011,-27.1%,-29.2%,+.022,-10.6%,-22.2%,-19.8%,-16.2%,-4.1%,-11.9%,-19.9%,-25.2%,-16.9%
2018-19,NBA,DET,,82,0.3%,2.0%,-0.3%,+.011,-13.4%,-9.9%,-.014,8.1%,5.2%,+.015,22.4%,25.8%,-.021,-1.2%,0.0%,-0.2%,-6.0%,-5.2%,5.3%,-5.1%,15.7%,3.3%
2017-18,NBA,DET,,82,0.0%,2.0%,2.3%,-.002,18.4%,20.4%,-.006,-3.3%,-5.7%,+.013,-10.8%,-10.3%,-.004,15.2%,-1.0%,2.0%,7.0%,8.3%,17.4%,16.2%,5.4%,1.4%
2016-17,NBA,DET,,82,-0.4%,-1.2%,-1.1%,-.001,28.7%,25.0%,+.011,-8.1%,-9.4%,+.007,-0.4%,0.0%,-.003,-9.5%,3.5%,0.8%,9.2%,-5.5%,-7.4%,-4.8%,-19.1%,1.1%
2015-16,NBA,DET,,82,0.3%,2.4%,1.3%,+.005,-6.1%,-6.1%,+.000,4.7%,3.9%,+.004,3.0%,1.6%,+.011,-17.3%,0.8%,-3.6%,-9.4%,1.9%,-6.4%,-4.1%,11.9%,1.9%
2014-15,NBA,DET,,82,0.3%,-3.2%,-0.0%,-.015,-7.0%,-4.4%,-.010,-2.1%,1.6%,-.019,-11.8%,-13.6%,+.016,-3.9%,4.9%,2.6%,-2.6%,-14.6%,-3.0%,-6.8%,-6.8%,-5.0%
2013-14,NBA,DET,,82,-0.1%,5.0%,2.5%,+.011,13.1%,11.7%,+.004,3.0%,-0.6%,+.018,7.1%,7.9%,-.006,0.2%,3.9%,2.9%,8.9%,-3.0%,-14.6%,9.2%,4.2%,5.9%
2012-13,NBA,DET,,82,24.1%,28.5%,29.3%,-.003,52.9%,50.4%,+.006,23.7%,23.5%,+.001,19.5%,20.1%,-.004,29.6%,26.6%,27.4%,23.7%,22.7%,35.6%,17.4%,27.0%,28.4%
2011-12,NBA,DET,,66,-19.7%,-23.5%,-19.6%,-.024,-24.5%,-23.8%,-.003,-23.3%,-18.4%,-.032,-22.7%,-22.6%,-.001,-18.8%,-19.6%,-19.4%,-22.3%,-0.9%,-8.7%,-17.3%,-17.0%,-23.4%
2010-11,NBA,DET,,82,0.5%,4.9%,3.8%,+.005,-7.9%,-3.5%,-.017,7.9%,6.1%,+.009,-7.8%,-7.6%,-.001,6.4%,2.1%,3.2%,0.6%,3.5%,-5.0%,-1.2%,-9.2%,1.5%
2009-10,NBA,DET,,82,-0.6%,3.1%,-3.3%,+.030,30.6%,23.3%,+.021,-1.8%,-9.6%,+.041,3.2%,4.2%,-.007,-5.5%,-1.3%,-2.4%,15.0%,19.1%,17.3%,21.8%,5.6%,4.6%
2008-09,NBA,DET,,82,0.9%,5.5%,2.3%,+.014,6.4%,-0.4%,+.023,5.3%,2.9%,+.011,3.7%,-0.4%,+.031,-0.5%,4.7%,3.3%,5.6%,-3.4%,7.2%,-13.0%,-0.4%,5.2%
2007-08,NBA,DET,,82,-0.8%,-3.3%,-1.5%,-.008,0.0%,2.3%,-.008,-3.8%,-2.5%,-.007,2.6%,2.0%,+.004,-11.1%,-2.5%,-4.9%,-5.1%,-8.4%,10.0%,-8.0%,-3.0%,-1.9%
2006-07,NBA,DET,,82,0.3%,-3.3%,-1.8%,-.007,24.3%,19.1%,+.014,-6.8%,-5.6%,-.006,20.2%,19.6%,+.003,2.3%,0.2%,0.8%,6.9%,8.3%,1.8%,5.2%,-3.4%,1.9%
