Season,Lg,Tm,Unnamed: 3,Age,Ht.,Wt.,Unnamed: 7,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2024-25,NBA,DET,,8.4%,-0.3%,-1.8%,,82,0.3%,4.5%,1.8%,+.012,16.0%,11.5%,+.014,0.2%,-3.7%,+.021,1.1%,2.6%,-.011,8.1%,1.7%,3.3%,3.7%,22.8%,12.2%,-2.3%,0.4%,5.1%
2023-24,NBA,DET,,-1.2%,0.3%,0.0%,,82,-0.3%,3.4%,1.3%,+.009,-3.0%,-2.1%,-.003,5.9%,3.4%,+.013,-13.9%,-15.5%,+.015,-6.0%,5.0%,2.1%,10.8%,-7.5%,24.7%,0.9%,-6.9%,-0.4%
2022-23,NBA,DET,,2.1%,0.4%,1.4%,,82,0.1%,3.7%,-1.7%,+.024,1.0%,-6.3%,+.025,4.8%,1.2%,+.018,14.9%,16.6%,-.012,1.8%,-2.3%,-1.3%,-2.1%,-8.9%,-21.6%,6.4%,0.8%,5.2%
2021-22,NBA,DET,,-3.7%,-0.5%,-0.9%,,82,13.5%,12.4%,17.9%,-.021,11.2%,19.7%,-.025,13.0%,16.8%,-.017,10.6%,7.3%,+.023,29.7%,10.2%,14.6%,10.4%,18.6%,5.9%,8.2%,21.8%,12.0%
2020-21,NBA,DET,,-5.4%,0.5%,-0.5%,,72,9.2%,7.2%,8.9%,-.007,5.2%,9.9%,-.016,8.1%,8.3%,-.001,16.5%,14.0%,+.016,7.8%,12.9%,11.7%,9.7%,8.4%,24.1%,6.6%,13.7%,8.4%
2019-20,NBA,DET,,-3.7%,0.4%,-3.1%,,66,-19.6%,-18.5%,-21.8%,+.019,-20.3%,-24.4%,+.019,-17.7%,-20.1%,+.015,-22.5%,-22.0%,-.004,-31.2%,-23.4%,-25.4%,-13.9%,-13.9%,-9.7%,-11.2%,-28.3%,-19.4%
2018-19,NBA,DET,,3.9%,-0.9%,0.4%,,82,0.3%,-0.7%,1.5%,-.010,12.1%,20.3%,-.025,-5.6%,-7.8%,+.012,17.2%,16.8%,+.003,12.8%,-0.1%,2.8%,-1.2%,-9.4%,4.4%,3.0%,20.1%,3.2%
2017-18,NBA,DET,,2.0%,-1.0%,-2.2%,,82,0.0%,-1.9%,-2.1%,+.001,40.4%,23.9%,+.044,-12.0%,-11.4%,-.003,5.9%,2.2%,+.026,-8.6%,-2.9%,-4.3%,7.9%,9.4%,2.3%,13.3%,2.8%,2.4%
2016-17,NBA,DET,,1.6%,0.0%,-0.4%,,82,-0.4%,5.1%,2.8%,+.010,-14.7%,-10.8%,-.015,11.3%,8.7%,+.011,-18.5%,-24.3%,+.051,-11.1%,2.2%,-1.4%,8.7%,0.2%,2.0%,-12.3%,-5.8%,-0.6%
2015-16,NBA,DET,,-3.5%,0.8%,3.6%,,82,0.3%,2.3%,0.7%,+.007,5.3%,5.1%,+.000,1.4%,-1.1%,+.012,8.3%,14.0%,-.035,-2.9%,5.6%,3.2%,-10.0%,-8.0%,-20.6%,1.0%,-0.1%,3.5%
2014-15,NBA,DET,,4.9%,-0.1%,0.0%,,82,0.3%,-4.4%,-1.2%,-.015,38.7%,29.3%,+.023,-12.6%,-9.9%,-.014,-8.7%,-12.9%,+.033,-12.1%,4.2%,-1.1%,3.3%,-9.3%,-3.0%,-7.9%,-6.4%,-2.5%
2013-14,NBA,DET,,-2.4%,-0.4%,-1.3%,,82,-0.1%,6.8%,7.3%,-.002,-1.2%,9.7%,-.035,8.5%,6.7%,+.008,8.3%,12.9%,-.029,20.7%,2.5%,7.7%,-1.6%,19.7%,-1.2%,-3.9%,2.6%,6.5%
2012-13,NBA,DET,,-3.8%,0.3%,2.3%,,82,24.1%,30.0%,26.9%,+.011,61.8%,57.2%,+.010,24.9%,20.4%,+.017,19.0%,28.0%,-.053,27.9%,30.9%,30.0%,41.4%,24.8%,43.9%,20.1%,25.5%,29.7%
