Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Tristen Newton,G,40,40,33.2,4.6,11.0,0.415,1.8,5.5,0.321,2.8,5.5,0.509,0.495,4.2,5.2,0.808,1.4,5.2,6.6,6.2,0.9,0.3,2.5,1.8,15.1,"AA-1,AP-AA-1,NABC-AA-1,SN-AA-1,USBWA-AA-2,W-AA-1"
2.0,Cam Spencer,G,40,40,33.0,4.9,10.1,0.484,2.5,5.6,0.44,2.4,4.5,0.539,0.606,2.1,2.3,0.911,1.1,3.8,4.9,3.6,1.5,0.3,1.0,2.2,14.3,
3.0,Alex Karaban,F,39,39,31.4,4.9,9.9,0.495,2.1,5.5,0.379,2.8,4.4,0.64,0.6,1.4,1.6,0.885,1.4,3.6,5.1,1.5,0.9,0.8,0.8,1.7,13.3,
4.0,Donovan Clingan,C,35,33,22.5,5.3,8.3,0.639,0.1,0.2,0.25,5.3,8.1,0.65,0.643,2.3,4.0,0.583,2.5,4.9,7.4,1.5,0.5,2.5,0.8,2.0,13.0,
5.0,Stephon Castle,G,34,30,27.0,4.0,8.5,0.472,0.6,2.2,0.267,3.4,6.3,0.544,0.507,2.4,3.2,0.755,1.7,3.0,4.7,2.9,0.8,0.5,1.5,2.4,11.1,
6.0,Hassan Diarra,G,40,1,19.4,2.2,4.5,0.483,0.6,1.8,0.357,1.5,2.7,0.565,0.553,1.2,1.5,0.78,0.8,2.2,3.0,2.4,0.8,0.3,1.1,1.9,6.1,
7.0,Samson Johnson,F,40,7,16.0,2.5,3.5,0.725,0.0,0.1,0.0,2.5,3.4,0.735,0.725,0.4,0.9,0.432,1.0,1.7,2.8,0.5,0.4,0.9,0.8,3.0,5.4,
8.0,Solomon Ball,G,39,10,11.5,1.2,3.0,0.385,0.6,1.8,0.319,0.6,1.2,0.489,0.483,0.4,0.6,0.696,0.4,0.6,1.0,0.3,0.2,0.0,0.4,0.7,3.3,
9.0,Jaylin Stewart,F,37,0,8.9,1.0,2.1,0.474,0.3,1.0,0.27,0.7,1.1,0.659,0.538,0.2,0.4,0.438,0.5,0.8,1.2,0.3,0.1,0.2,0.2,0.8,2.5,
10.0,Apostolos Roumoglou,G,24,0,2.1,0.3,0.5,0.583,0.2,0.4,0.556,0.1,0.1,0.667,0.792,0.2,0.2,1.0,0.0,0.4,0.5,0.2,0.1,0.1,0.0,0.2,1.0,
11.0,Jayden Ross,F,23,0,4.4,0.3,1.0,0.273,0.0,0.5,0.091,0.2,0.5,0.455,0.295,0.1,0.2,0.4,0.2,0.5,0.7,0.2,0.2,0.0,0.1,0.3,0.7,
12.0,Andrew Hurley,G,18,0,1.4,0.1,0.3,0.333,0.1,0.3,0.4,0.0,0.1,0.0,0.5,0.1,0.1,0.5,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.4,
13.0,Andre Johnson Jr.,G,13,0,0.8,0.1,0.2,0.5,0.1,0.2,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,
14.0,Youssouf Singare,C,23,0,2.0,0.0,0.1,0.333,0.0,0.0,,0.0,0.1,0.333,0.333,0.1,0.1,1.0,0.1,0.5,0.6,0.0,0.0,0.0,0.0,0.5,0.2,
,Team Totals,,40,40,200.0,29.4,59.2,0.497,8.5,23.8,0.358,20.9,35.4,0.591,0.569,14.1,18.9,0.743,11.7,27.1,38.8,18.7,6.2,5.4,9.6,16.3,81.4,
