Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Vladislav Goldin,F,37,37,27.5,6.0,9.9,0.607,0.3,0.9,0.333,5.7,9.0,0.634,0.622,4.3,5.9,0.731,2.4,4.7,7.0,1.1,0.5,1.4,2.3,2.0,16.6,
2.0,Danny Wolf,F,37,37,30.5,5.0,10.1,0.497,1.0,3.1,0.336,4.0,7.1,0.567,0.548,2.1,3.6,0.594,2.3,7.4,9.7,3.6,0.7,1.4,3.2,2.1,13.2,
3.0,Tre Donaldson,G,37,37,31.1,4.0,9.3,0.433,1.7,4.5,0.375,2.3,4.8,0.489,0.525,1.6,2.3,0.69,0.5,3.0,3.5,4.1,1.0,0.1,2.2,1.6,11.3,
4.0,Roddy Gayle Jr.,G,36,25,26.3,3.3,7.6,0.431,0.5,2.3,0.232,2.8,5.3,0.516,0.465,2.8,3.5,0.792,1.1,2.4,3.4,2.2,0.8,0.2,1.8,2.2,9.8,
5.0,Nimari Burnett,G,37,37,26.3,3.2,6.7,0.476,1.8,4.5,0.4,1.4,2.2,0.627,0.609,1.2,1.6,0.763,0.7,2.8,3.5,1.5,0.8,0.2,1.3,2.6,9.4,
6.0,Will Tschetter,F,37,0,15.9,2.2,4.6,0.477,0.9,2.6,0.351,1.3,2.0,0.64,0.576,1.0,1.2,0.86,1.0,1.4,2.4,0.6,0.2,0.1,0.5,2.0,6.4,
7.0,Sam Walters,F,23,0,12.7,1.6,3.8,0.425,1.1,3.1,0.366,0.5,0.7,0.688,0.575,0.6,0.8,0.737,0.3,1.3,1.6,0.6,0.1,0.2,0.3,1.2,5.0,
8.0,L.J. Cason,G,30,0,11.8,1.4,3.8,0.368,0.5,2.0,0.246,0.9,1.8,0.509,0.434,1.0,1.3,0.816,0.3,1.0,1.4,1.0,0.4,0.0,0.9,1.4,4.3,
9.0,Rubin Jones,G,33,12,21.6,1.2,3.7,0.331,0.6,2.5,0.247,0.6,1.2,0.5,0.413,0.5,0.7,0.783,0.6,1.9,2.6,1.3,0.9,0.2,1.0,2.1,3.6,
10.0,Justin Pippen,G,28,0,6.7,0.4,1.6,0.273,0.3,1.1,0.267,0.1,0.5,0.286,0.364,0.4,0.5,0.857,0.3,0.4,0.7,0.6,0.2,0.0,0.3,0.8,1.6,
11.0,Jace Howard,G,5,0,3.8,0.2,0.8,0.25,0.0,0.0,,0.2,0.8,0.25,0.25,0.4,1.0,0.4,0.4,0.8,1.2,0.2,0.2,0.0,0.6,0.6,0.8,
12.0,Phat Phat Brooks,G,15,0,3.3,0.1,0.4,0.333,0.1,0.2,0.333,0.1,0.2,0.333,0.417,0.5,0.6,0.778,0.2,0.5,0.7,0.2,0.2,0.0,0.1,0.5,0.8,
13.0,Harrison Hochberg,F,6,0,1.3,0.3,0.3,1.0,0.0,0.0,,0.3,0.3,1.0,1.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.7,
14.0,Charlie May,G,5,0,1.2,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.4,0.4,0.0,0.0,0.0,0.2,0.0,0.0,
15.0,Howard Eisley Jr.,G,3,0,1.3,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,
16.0,Ian Burns,G,7,0,1.1,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,
,Team Totals,,37,37,201.3,27.3,58.4,0.468,8.1,24.5,0.332,19.2,33.9,0.567,0.538,15.2,20.9,0.728,11.1,27.4,38.4,15.8,5.4,3.6,14.0,17.1,78.0,
