id,date,year,opponent,home_away,result,points_scored,points_against,pass_cmp,pass_att,pass_pct,pass_yrds,pass_td,pass_1st_down,rush_att,rush_yrds,rush_td,rush_1st_down,total_offense,fumbles,ints
1,2011-09-03,2011,Western Michigan,Home,W,34,10,9,13,69.2,98,0,5,26,190,3,9,288,0,0
2,2011-09-10,2011,Notre Dame,Home,W,35,31,11,24,45.8,338,4,10,26,114,1,5,452,0,3
3,2011-09-17,2011,Eastern Michigan,Home,W,31,3,7,18,38.9,95,2,5,50,376,2,19,471,0,1
4,2011-09-24,2011,San Diego State,Home,W,28,7,8,17,47.1,93,0,3,45,320,4,14,413,2,2
5,2011-10-01,2011,Minnesota,Home,W,58,0,18,25,72,217,3,10,48,363,3,19,580,0,0
6,2011-10-08,2011,Northwestern,Away,W,42,24,19,28,67.9,362,2,14,50,179,4,8,541,0,3
7,2011-10-15,2011,Michigan State,Away,L,14,28,12,31,38.7,168,1,6,36,82,1,8,250,0,1
8,2011-10-29,2011,Purdue,Home,W,36,14,10,17,58.8,196,0,7,53,339,4,17,535,0,2
9,2011-11-05,2011,Iowa,Away,L,16,24,18,38,47.4,196,2,10,37,127,0,10,323,1,1
10,2011-11-12,2011,Illinois,Away,W,31,14,8,15,53.3,139,1,6,48,223,3,8,362,2,1
11,2011-11-19,2011,Nebraska,Home,W,45,17,11,19,57.9,180,2,6,61,238,4,14,418,0,1
12,2011-11-26,2011,Ohio State,Home,W,40,34,14,17,82.4,167,3,8,50,277,2,14,444,1,0
13,2012-01-03,2011,Virginia Tech,Neutral,W,23,20,10,22,45.5,128,2,7,30,56,0,3,184,0,1
14,2012-09-01,2012,Alabama,Neutral,L,14,41,11,27,40.7,200,1,5,29,69,1,5,269,0,3
15,2012-09-08,2012,Air Force,Home,W,31,25,14,25,56,208,2,12,31,214,2,7,422,0,1
16,2012-09-15,2012,Massachusetts,Home,W,63,13,16,25,64,291,3,12,43,294,6,14,585,0,1
17,2012-09-22,2012,Notre Dame,Away,L,6,13,13,25,52,138,0,9,41,161,0,9,299,1,5
18,2012-10-06,2012,Purdue,Away,W,44,13,8,16,50,105,1,6,54,304,3,12,409,1,0
19,2012-10-13,2012,Illinois,Home,W,45,0,9,15,60,174,2,7,51,353,4,13,527,1,0
20,2012-10-20,2012,Michigan State,Home,W,12,10,14,30,46.7,163,0,8,32,163,0,7,326,0,1
21,2012-10-27,2012,Nebraska,Away,L,9,23,9,27,33.3,93,0,7,37,95,0,5,188,0,3
22,2012-11-03,2012,Minnesota,Away,W,35,13,12,18,66.7,234,2,7,41,155,3,8,389,0,1
23,2012-11-10,2012,Northwestern,Home,W,38,31,16,30,53.3,286,2,12,32,133,3,6,419,1,1
24,2012-11-17,2012,Iowa,Home,W,42,17,18,23,78.3,314,3,13,39,199,3,9,513,0,1
25,2012-11-24,2012,Ohio State,Away,L,21,26,11,20,55,171,1,5,27,108,2,5,279,3,1
26,2013-01-01,2012,South Carolina,Neutral,L,28,33,18,37,48.6,214,3,10,45,141,0,12,355,1,1
27,2013-08-31,2013,Central Michigan,Home,W,59,9,14,21,66.7,221,1,11,47,242,6,9,463,0,3
28,2013-09-07,2013,Notre Dame,Home,W,41,30,21,33,63.6,294,4,11,39,166,1,11,460,0,1
29,2013-09-14,2013,Akron,Home,W,28,24,16,30,53.3,248,2,10,32,177,2,8,425,1,3
30,2013-09-21,2013,Connecticut,Away,W,24,21,11,23,47.8,97,0,6,49,192,3,11,289,2,2
31,2013-10-05,2013,Minnesota,Home,W,42,13,13,17,76.5,235,1,10,35,113,4,7,348,0,0
32,2013-10-12,2013,Penn State,Away,L,40,43,15,29,51.7,240,3,9,54,149,0,9,389,1,2
33,2013-10-19,2013,Indiana,Home,W,63,47,21,29,72.4,503,2,20,54,248,7,15,751,2,0
34,2013-11-02,2013,Michigan State,Away,L,6,29,15,30,50,216,0,9,29,-48,0,2,168,0,1
35,2013-11-09,2013,Nebraska,Home,L,13,17,18,27,66.7,196,1,12,36,-21,0,0,175,0,0
36,2013-11-16,2013,Northwestern,Away,W,27,19,24,43,55.8,226,1,15,44,139,1,10,365,0,0
37,2013-11-23,2013,Iowa,Away,L,21,24,13,28,46.4,98,2,5,29,60,0,4,158,1,0
38,2013-11-30,2013,Ohio State,Home,L,41,42,32,47,68.1,451,4,21,35,152,2,9,603,1,0
39,2013-12-28,2013,Kansas State,Neutral,L,14,31,24,38,63.2,196,0,9,15,65,1,5,261,0,1
