G,Date,Time,Day,School,Unnamed: 5,Opponent,Conf,Unnamed: 8,Pts,Opp,W,L,Streak,Notes
1,"Aug 31, 2024",7:30 PM,Sat,(9) Michigan,,Fresno State,MWC,W,30,10,1,0,W 1,
2,"Sep 7, 2024",12:00 PM,Sat,(10) Michigan,,(3) Texas,SEC,L,12,31,1,1,L 1,
3,"Sep 14, 2024",12:00 PM,Sat,(17) Michigan,,Arkansas State,Sun Belt,W,28,18,2,1,W 1,
4,"Sep 21, 2024",3:30 PM,Sat,(18) Michigan,,(11) USC,Big Ten,W,27,24,3,1,W 2,
5,"Sep 28, 2024",12:00 PM,Sat,(12) Michigan,,Minnesota,Big Ten,W,27,24,4,1,W 3,
6,"Oct 5, 2024",7:30 PM,Sat,(10) Michigan,@,Washington,Big Ten,L,17,27,4,2,L 1,
7,"Oct 19, 2024",3:30 PM,Sat,(24) Michigan,@,(22) Illinois,Big Ten,L,7,21,4,3,L 2,
8,"Oct 26, 2024",7:30 PM,Sat,Michigan,,Michigan State,Big Ten,W,24,17,5,3,W 1,
9,"Nov 2, 2024",3:30 PM,Sat,Michigan,,(1) Oregon,Big Ten,L,17,38,5,4,L 1,
10,"Nov 9, 2024",3:30 PM,Sat,Michigan,@,(8) Indiana,Big Ten,L,15,20,5,5,L 2,
11,"Nov 23, 2024",3:30 PM,Sat,Michigan,,Northwestern,Big Ten,W,50,6,6,5,W 1,
12,"Nov 30, 2024",12:00 PM,Sat,Michigan,@,(2) Ohio State,Big Ten,W,13,10,7,5,W 2,
13,"Dec 31, 2024",12:00 PM,Tue,Michigan,N,(11) Alabama,SEC,W,19,13,8,5,W 3,ReliaQuest Bowl
